Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,DOI_clean,Stratum
Yang W.; Ren B.; Xu B.; Pang X.; Liu R.,"Yang, Wenguang (55501280600); Ren, Baitong (58564435500); Xu, Bingbing (58564062900); Pang, Xiaona (58564435600); Liu, Ruitian (58563932900)",55501280600; 58564435500; 58564062900; 58564435600; 58563932900,RETRACTION:An improved TOPSIS-based rank preservation approach for hesitant fuzzy information processing,2023,Journal of Intelligent and Fuzzy Systems,45,3,,4249.0,4260.0,0,10.3233/JIFS-230713,https://www.scopus.com/pages/publications/85169906658?origin=resultslist,"College of Science, North China Institute of Science and Technology, Langfang, China","Yang W., College of Science, North China Institute of Science and Technology, Langfang, China; Ren B., College of Science, North China Institute of Science and Technology, Langfang, China; Xu B., College of Science, North China Institute of Science and Technology, Langfang, China; Pang X., College of Science, North China Institute of Science and Technology, Langfang, China; Liu R., College of Science, North China Institute of Science and Technology, Langfang, China","In this study, a novel approach based on the reduction of the attribution and the rank preservation is analyzed, which intends to solve the issue of multi-attribute decision making (MADM) with the hesitant fuzzy information. Firstly, several new concepts are shown to simplify the representation of hesitant fuzzy information, such as single point fuzzification estimated value, and single point fuzzification weighted Euclidean distance. Secondly, a new improved HF-TOPSIS method based on the overall situation and these new concepts are put forward, in which the positive and negative ideal solutions are fixed to calculate the complex hesitant fuzzy decision process. The proposed method in this paper achieves the purpose of compression of the complex hesitant fuzzy information, and the calculation is relatively simple and easy to operate. Finally, two examples are presented to test and verify the credibility and effectiveness of the TOPSIS-Based rank preservation approach, which can achieve the consistency of results before and after evaluation, as well as ensuring rank preservation, while other HF-TOPSIS methods may cause rank reversal problems.  © 2023 - IOS Press. All rights reserved.",hesitant fuzzy set; MADM; Rank preservation; single point fuzzification; TOPSIS,Artificial intelligence; Decision making; Fuzzifications; Fuzzy information; Fuzzy information processing; Hesitant fuzzy sets; Multi attribute decision making; Rank preservation; Single point; Single point fuzzification; TOPSIS; TOPSIS method; Petroleum reservoir evaluation,"W. Yang; College of Science, North China Institute of Science and Technology, Langfang, China; email: yangwenguang@ncist.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85169906658,10.3233/jifs-230713,S1_JIFS
Zhao L.; Wang J.; Liu S.; Yang X.,"Zhao, Liang (57190893962); Wang, Jiawei (58295424200); Liu, Shipeng (57226182535); Yang, Xiaoyan (58295590800)",57190893962; 58295424200; 57226182535; 58295590800,RETRACTED: An adaptive multitask network for detecting the region of water leakage in tunnels,2025,Journal of Intelligent and Fuzzy Systems,49,1,,978.0,992.0,0,10.3233/JIFS-224315,https://www.scopus.com/pages/publications/105036557158?origin=resultslist,"School of Information and Control Engineering, Xi’an University of Architecture and Technology, Shaanxi, Xi’an, China; School of Building Services Science and Engineering, Xi’an University of Architecture and Technology, Shaanxi, Xi’an, China","Zhao L., School of Information and Control Engineering, Xi’an University of Architecture and Technology, Shaanxi, Xi’an, China; Wang J., School of Information and Control Engineering, Xi’an University of Architecture and Technology, Shaanxi, Xi’an, China; Liu S., School of Information and Control Engineering, Xi’an University of Architecture and Technology, Shaanxi, Xi’an, China; Yang X., School of Building Services Science and Engineering, Xi’an University of Architecture and Technology, Shaanxi, Xi’an, China",[No abstract available],,,"L. Zhao; School of Information and Control Engineering, Xi’an University of Architecture and Technology, Xi’an, Shaanxi, 710055, China; email: zhaoliang20220824@163.com",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-105036557158,10.3233/jifs-224315,S1_JIFS
Thakur D.; Lalwani P.,"Thakur, Divya (57886951000); Lalwani, Praveen (55649861900)",57886951000; 55649861900,RETRACTION:A Cuckoo search-based optimized ensemble model (CSOEM) for the analysis of human gait,2023,Journal of Intelligent and Fuzzy Systems,45,6,,10887.0,10900.0,2,10.3233/JIFS-232986,https://www.scopus.com/pages/publications/85179586660?origin=resultslist,"Vit Bhopal University, Madhya Pradesh, Sehore, India","Thakur D., Vit Bhopal University, Madhya Pradesh, Sehore, India; Lalwani P., Vit Bhopal University, Madhya Pradesh, Sehore, India","The use of mobile devices has contributed greatly to the expansion of Human Activity Recognition (HAR) studies in recent years. Researchers find it attractive because of its versatility, low cost, compact size, ease of usage, and wide range of possible applications. Conventional, biological, and control-based systems are just some of the methods that have been created for humanoid robot movement in recent years. This article specifically targeted improvement in the proposed method, which is different from previous papers. This is being done with the use of the publicly available Human Activity Gait (HAG) data set, which documents a wide range of different types of activities. IMU sensors were used to collect this data set. Several experiments were conducted using different machine-learning strategies, each with its own set of hyper-parameters, to determine how best to utilize these data. In our proposed model Cuckoo Search Optimization is being used for optimum feature selection. On this data set, we have tested a number of machine learning models, including LR, KNN, DT, and proposed CSOEM (Cuckoo Search-Based Optimized Ensemble Model). The simulation suggests that the proposed model CSOEM achieves an impressive accuracy of 98%. This CSOEM is built by combining the feature selection strategy of Cuckoo Search Optimizations with the ensembling of the LR, KNN, and DT.  © 2023 - IOS Press. All rights reserved.",Bipedal robot locomotion; CSO: cuckoo search optimization; HAG: human activity gait; HAR: human activity recognition,Biped locomotion; Feature extraction; Optimization; Bipedal robot; Bipedal robot locomotion; CSO: cuckoo search optimization; Cuckoo searches; Human activities; Human activity gait: human activity gait; Human activity recognition; Human activity recognition: human activity recognition; Robot locomotion; Search optimization; Anthropomorphic robots,"D. Thakur; Vit Bhopal University, Sehore, Madhya Pradesh, India; email: divyathakur2020@vitbhopal.ac.in",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85179586660,10.3233/jifs-232986,S1_JIFS
Qin H.; Zou Y.; Yu G.; Liu H.; Tan Y.,"Qin, Hao (59946465300); Zou, Yanli (8398720700); Yu, Guoliang (59947196100); Liu, Huipeng (59946643100); Tan, Yufei (57880742300)",59946465300; 8398720700; 59947196100; 59946643100; 57880742300,"RETRACTED: SOHD-LOAM: Suppress odometry height drift lidar odometry and mapping on undulating road(Journal of Intelligent & Fuzzy Systems, (2025), 48, (287-300))",2025,Journal of Intelligent and Fuzzy Systems,48,1_suppl,,287.0,300.0,0,10.3233/JIFS-235708,https://www.scopus.com/pages/publications/105008229489?origin=resultslist,"Guangxi Key Laboratory of Brain-Inspired Computingand Intelligent Chips, School of Electronics and InformationEngineering, Guangxi Normal University, Guangxi, Guilin, China; Key Laboratory of Nonlinear Circuits and Optical Communications (Guangxi Normal University), Education Department of Guangxi Zhuang Autonomous Region, Guilin, China","Qin H., Guangxi Key Laboratory of Brain-Inspired Computingand Intelligent Chips, School of Electronics and InformationEngineering, Guangxi Normal University, Guangxi, Guilin, China, Key Laboratory of Nonlinear Circuits and Optical Communications (Guangxi Normal University), Education Department of Guangxi Zhuang Autonomous Region, Guilin, China; Zou Y., Guangxi Key Laboratory of Brain-Inspired Computingand Intelligent Chips, School of Electronics and InformationEngineering, Guangxi Normal University, Guangxi, Guilin, China, Key Laboratory of Nonlinear Circuits and Optical Communications (Guangxi Normal University), Education Department of Guangxi Zhuang Autonomous Region, Guilin, China; Yu G., Guangxi Key Laboratory of Brain-Inspired Computingand Intelligent Chips, School of Electronics and InformationEngineering, Guangxi Normal University, Guangxi, Guilin, China, Key Laboratory of Nonlinear Circuits and Optical Communications (Guangxi Normal University), Education Department of Guangxi Zhuang Autonomous Region, Guilin, China; Liu H., Guangxi Key Laboratory of Brain-Inspired Computingand Intelligent Chips, School of Electronics and InformationEngineering, Guangxi Normal University, Guangxi, Guilin, China, Key Laboratory of Nonlinear Circuits and Optical Communications (Guangxi Normal University), Education Department of Guangxi Zhuang Autonomous Region, Guilin, China; Tan Y., Guangxi Key Laboratory of Brain-Inspired Computingand Intelligent Chips, School of Electronics and InformationEngineering, Guangxi Normal University, Guangxi, Guilin, China, Key Laboratory of Nonlinear Circuits and Optical Communications (Guangxi Normal University), Education Department of Guangxi Zhuang Autonomous Region, Guilin, China",This article has been retracted. A retraction notice can be found at https://doi.org/10.3233/JIFS-219434. © 2025 – IOS Press. All rights reserved.,,,"Y. Zou; Guangxi Key Laboratory of Brain-Inspired Computingand Intelligent Chips, School of Electronics and InformationEngineering, Guangxi Normal University, Guilin, Guangxi, China; email: zouyanli72@163.com",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105008229489,10.3233/jifs-235708,S1_JIFS
Yu X.; Yang Y.,"Yu, Xingping (59946465400); Yang, Yang (59911926800)",59946465400; 59911926800,"RETRACTED: Music genre selection based on computer data analysis for user preference using fuzzy classification by deep learning model(Journal of Intelligent & Fuzzy Systems, (2025), 48, (119-130))",2025,Journal of Intelligent and Fuzzy Systems,48,1_suppl,,119.0,130.0,0,10.3233/JIFS-235478,https://www.scopus.com/pages/publications/105008212939?origin=resultslist,"College of Music and Dance, Huagiao University, Xiamen, China; College of Engineering, Huaqiao University, Quanzhou, China","Yu X., College of Music and Dance, Huagiao University, Xiamen, China; Yang Y., College of Engineering, Huaqiao University, Quanzhou, China",This article has been retracted. A retraction notice can be found at https://doi.org/10.3233/JIFS-219434. © 2025 – IOS Press. All rights reserved.,,,"X. Yu; College of Music and Dance, Huagiao University, Xiamen, China; email: Xingping_yu@hotmail.com",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105008212939,10.3233/jifs-235478,S1_JIFS
Pughazendi N.; HariKrishnan M.; Khilar R.; Sharmila L.,"Pughazendi, N. (60381263600); HariKrishnan, M. (58561330700); Khilar, Rashmita (56035358600); Sharmila, L. (56880263600)",60381263600; 58561330700; 56035358600; 56880263600,Optical handwritten character recognition for Tamil language using CNN-VGG-16 model with RF classifier,2023,Optical and Quantum Electronics,55,11,976,,,5,10.1007/s11082-023-05211-y,https://www.scopus.com/pages/publications/85169676185?origin=resultslist,"Department of CSE, Panimalar Engineering College, Tamilnadu, Chennai, India; Department of CSE, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Tamilnadu, Chennai, India; Department of IT, Agni College of Technology, Tamilnadu, Chennai, India","Pughazendi N., Department of CSE, Panimalar Engineering College, Tamilnadu, Chennai, India; HariKrishnan M., Department of CSE, Panimalar Engineering College, Tamilnadu, Chennai, India; Khilar R., Department of CSE, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Tamilnadu, Chennai, India; Sharmila L., Department of IT, Agni College of Technology, Tamilnadu, Chennai, India","In this world of modern data, it is so difficult to recognize handwritten characters for Tamil as many people have different styles of writing, so some of the letters are very difficult to understand and only a few can understand them. So, to overcome this issue, we built an algorithm in which the system could recognize the character and return the output. As it is difficult to understand letters manually for all their text, there is a need for some automatic method. The only intention of character recognition is that it wants to create a high-quality, accurate result that has the important points while considering the outlined input source image. Mostly, natural language processing and machine learning face the same problem with text recognition. The main goal of automatic character recognition is to create a high degree of accuracy as best as a human can do. Character recognition is the process of filtering the required information from the input-trained source to output the most useful content. This paper proposes a CNN-VGG16-RF model (convolution neural network-VGGNet-random forest) which employs an effective method to pick out the correct output. Experimental tests for our model were carried out to evaluate text quality, and the Tamil language dataset from the HP Tamil Lab website was used to compare our model to some other models; our model was found to be more effective in solving the handwritten recognition problem. In this model, we are going to propose Tamil vowels such as 12 letters only for the training and testing process. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",CNN-VGG16-RF (convolution neural network-VGGNet-random forest); Handwritten character recognition (HCR); Handwritten Tamil character recognition (HTCR); HP Tamil Lab website; Recognize handwritten character (RHC); Support vector machine (SVM); Tamil; Transfer learning,Character recognition; Convolution; Convolutional neural networks; Forestry; Information filtering; Learning algorithms; Learning systems; Natural language processing systems; Statistical tests; Websites; CNN-VGG16-RF (convolution neural network-VGGNet-random forest); Convolution neural network; Hand-written characters; Handwritten character recognition; Handwritten tamil character recognition; HP tamil lab website; Random forests; Recognize handwritten character; Support vector machine; Support vectors machine; Tamil; Transfer learning; Support vector machines,"N. Pughazendi; Department of CSE, Panimalar Engineering College, Chennai, Tamilnadu, India; email: pughazendi@gmail.com",,Springer,03068919,,OQELD,,English,Opt Quantum Electron,Retracted,Final,,Scopus,2-s2.0-85169676185,10.1007/s11082-023-05211-y,S3_Diverse
Punarselvam E.,"Punarselvam, E. (55193597700)",55193597700,RETRACTION:A pragmatic approach of Parkinson disease detection using hybrid case-based reasoning neuro-fuzzy classification system over Mobile edge computing,2023,Journal of Intelligent and Fuzzy Systems,44,5,,7653.0,7668.0,5,10.3233/JIFS-220941,https://www.scopus.com/pages/publications/85166388152?origin=resultslist,"Department of Information Technology, Muthayammal Engineering College (Autonomous), Rasipuram, India","Punarselvam E., Department of Information Technology, Muthayammal Engineering College (Autonomous), Rasipuram, India","Parkinson's disease is neurological degenerative disorder cause by deficient dopamine production which in turn harms the motor functionality and speech. With latest IoT advancement in the health care era, we propose intelligent and smart Parkinson's disease detection system based on voice signal analysis. Addition to PDs detection, we propose remote health monitoring feature that keep on monitoring and diagnosing PD person activity. To perform all tasks efficiently we divide our propose model in three phases: monitoring, diagnosing and analysis. During monitoring phase, PDs person voice signal is monitored and captured via IoT sensor enabled Smartphone device. This voices signal is further processed for PD detection over MEC server during diagnosing phase. We use Tunable Q factor wavelet transform (TQWT) for extracting feature from voice sample, these extracted feature are reduced FRS methods. For feature reduction PCA and LDA are used. Theses processed feature are then applied to hybrid case-based reasoning neuro-fuzzy (ANFIS) classification system to detect Parkinson's disease. On the detection of PDs abnormality, the proposed healthcare monitoring system immediately generates notification to the patient simultaneously send detection report to centralized healthcare cloud system. This PDs detection report is further analyzed and stored at cloud server during analysis phase where report is analyzed by professional health expert and send the appropriate treatment and medication to PD infected person or care taker. For experimentation and performance evaluation benchmark baseline UCI dataset of PDs are used. We analyzed our proposed hybrid ANFIS-CBR classifier with existing classifiers over the accuracy, sensitivity and specificity parameter. Based on the result analysis, it is observed that proposed hybrid classifier maximum accuracy, sensitivity, and specificity of 98.23%, 99.1%, and 95.3% in comparison to other classifier.  © 2023 - IOS Press. All rights reserved.",Adaptive Neuro-fuzzy interference System (ANFIS); Backward feature selection (BFS); Case-Based Reasoning (CBR); Cloud computing; Feature reduction and selection (FRS); Forward feature selection (FFS); Internet of things (IoT); Linear Discriminant Analysis (LDA); MEC (Mobile edge computing); Parkinson's Disease (PDs); Principal Component Analysis (PCA); Tunable Q-factor wavelet transform,Benchmarking; Case based reasoning; Diagnosis; Discriminant analysis; Edge computing; Feature extraction; Internet of things; Neurodegenerative diseases; Wavelet transforms; Adaptive neuro-fuzzy; Adaptive neuro-fuzzy interference system; Backward feature selection; Backward feature selections; Case-based reasoning; Casebased reasonings (CBR); Cloud-computing; Feature reduction and selection; Features reductions; Features selection; Forward feature selection; Forward feature selections; Fuzzy interference systems; Internet of thing; Linear discriminant analyse; Linear discriminant analyze; Mobile edge computing; Parkinson disease; Parkinson's disease; Principal component analyse; Principal-component analysis; Q-factors; Tunable Q-factor wavelet transform; Tunables; Wavelets transform; Principal component analysis,"E. Punarselvam; Department of Information Technology, Muthayammal Engineering College (Autonomous), Rasipuram, India; email: punarselvame@gmail.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85166388152,10.3233/jifs-220941,S1_JIFS
Lin T.; Yang B.,"Lin, Tiantai (58042970000); Yang, Bin (57189901399)",58042970000; 57189901399,RETRACTION:The resolution of q-rung orthopair fuzzy set based three-way group conflict analysis,2023,Journal of Intelligent and Fuzzy Systems,44,6,,10565.0,10580.0,3,10.3233/JIFS-224589,https://www.scopus.com/pages/publications/85166392711?origin=resultslist,"College of Science, Northwest Af University, Yangling, China","Lin T., College of Science, Northwest Af University, Yangling, China; Yang B., College of Science, Northwest Af University, Yangling, China","In social life, conflict situations occur frequently all the time. To analyse a conflict situation, not only the intrinsic reason of the conflict but also the resolution of the conflict should be given. In this paper, we propose a combine conflict analysis model under q-rung fuzzy orthopair information system that contain conflict resolution, which is called discern function-based three-way group conflict analysis. Firstly, we propose three novel form conflict distances which are induced by discern functions, and examine their properties, then the comprehensive conflict distances are given based on the normality and symmetry they share. Thus, the conflict analysis and resolution method in our model can be directly gained based on these novel form conflict distances. Secondly, from the view of group decision, the comprehensive q-rung fuzzy loss function is attained by aggregating a group of q-rung fuzzy loss functions through the q-rung orthopair fuzzy weighted averaging operator in the procedure of conflict resolution. Finally, we employ an example of the governance of a local government to demonstrate the process of finding an optimal feasible strategy in our model.  © 2023 - IOS Press. All rights reserved.",Conflict analysis; q-rung orthopair fuzzy set; resolution of conflict analysis; three-way decisions,Artificial intelligence; Conflict Resolution; Conflict situation; Conflicts analysis; Group conflicts; Loss functions; Q-rung orthopair fuzzy set; Resolution of conflict analyse; Social life; Three-way decision; Fuzzy sets,"B. Yang; College of Science, Northwest Af University, Yangling, 712100, China; email: binyang0906@nwsuaf.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85166392711,10.3233/jifs-224589,S1_JIFS
Zhao J.; Wang S.; Wu H.,"Zhao, Jie (58763881600); Wang, Shuo (58763601500); Wu, Haotian (57220122202)",58763881600; 58763601500; 57220122202,RETRACTION:Optimal allocation of hybrid energy storage capacity of DC microgrid based on model predictive control algorithm,2023,Journal of Intelligent and Fuzzy Systems,45,6,,12065.0,12077.0,4,10.3233/JIFS-234849,https://www.scopus.com/pages/publications/85179760588?origin=resultslist,"State Grid Hebei Electric Power Company Shijiazhuang Power Supply Company, Hebei, Shijiazhuang, China; Shanghai Investigation, Design Research Institute Co., Ltd, Shanghai, China","Zhao J., State Grid Hebei Electric Power Company Shijiazhuang Power Supply Company, Hebei, Shijiazhuang, China; Wang S., State Grid Hebei Electric Power Company Shijiazhuang Power Supply Company, Hebei, Shijiazhuang, China; Wu H., Shanghai Investigation, Design Research Institute Co., Ltd, Shanghai, China","To effectively enhance the safety, stability, and economic operation capability of DC microgrids, an optimized control strategy for DC microgrid hybrid energy storage system (HESS)(The abbreviation table is shown in Table 2) based on model predictive control theory is proposed. Based on the characteristics of supercapacitors and batteries, system safety requirements, and various constraints, a predictive model for a hybrid energy storage DC microgrid is established. By defining its optimization indicators, designing an energy optimization management strategy, and transforming it into a quadratic programming problem for solution, the reasonable scheduling of power in the DC microgrid has been achieved. In addition, a power control method was proposed for the system without constraints. The simulation experiment results show that at the initial sampling time, the system operates normally, and the MPC algorithm allocates two types of energy storage devices to discharge to meet the net load demand, without absorbing electricity from the external network. At the 30th sampling point, the net load increases, and the MPC controller obtains the optimal solution of the control problem based on the known net load prediction data at the previous sampling time. It outputs the operating reference values of each output unit at the next time. Starting from the 100th to 199th sampling points, SOCUC falls below the lower limit of the safety interval, and the system enters situation 4 mode. The external network output assists the battery in working. At the 131st sampling point, the net load decreases, the system enters Situation 3 mode, and the battery operates independently. Until the 179th point, SOCB was also below the lower limit of its safety interval, and the system entered situation 5 mode, completely maintaining system power balance by external network power. Starting from point 201, the net load becomes negative, and the system charges the HESS according to instructions and stops the external power grid energy transmission. Conclusion: The feasibility and effectiveness of the proposed optimization management strategy have been verified. © 2023 - IOS Press. All rights reserved.",DC microgrid; mixed energy storage; model predictive control; objective function; secondary planning,Battery storage; Digital storage; Electric batteries; Electric loads; Electric power transmission; Electric power transmission networks; Predictive control systems; Quadratic programming; DC microgrid; External network; Hybrid energy storage; Hybrid energy storage systems; Microgrid; Mixed energy storage; Model-predictive control; Objective functions; Sampling points; Secondary planning; Model predictive control,"H. Wu; Shanghai Investigation, Design Research Institute Co., Ltd, Shanghai, 200335, China; email: 17801008662@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85179760588,10.3233/jifs-234849,S1_JIFS
Kaur A.; Rama Krishna C.; Patil N.V.,"Kaur, Amandeep (59682809800); Rama Krishna, C. (26657857700); Patil, Nilesh Vishwasrao (57209713242)",59682809800; 26657857700; 57209713242,RETRACTED: KS-SDN-DDoS: A Kafka streams-based real-time DDoS attack classification approach for SDN environment,2025,Journal of Intelligent and Fuzzy Systems,49,1,,871.0,882.0,1,10.3233/JIFS-219405,https://www.scopus.com/pages/publications/105033148921?origin=resultslist,"Department of Computer Science & Engineering, National Institute of Technical Teachers Training & Research (NITTTR), Chandigarh, India; Department of Computer Engineering Government Polytechnic, Chhatrapati Sambhajinagar (, Maharashtra, Aurangabad, India","Kaur A., Department of Computer Science & Engineering, National Institute of Technical Teachers Training & Research (NITTTR), Chandigarh, India; Rama Krishna C., Department of Computer Science & Engineering, National Institute of Technical Teachers Training & Research (NITTTR), Chandigarh, India; Patil N.V., Department of Computer Engineering Government Polytechnic, Chhatrapati Sambhajinagar (, Maharashtra, Aurangabad, India","Following an investigation in line with the guidance issued by COPE, the publisher has detected one or more of the following indicators in submissions and in the peer review process underlying the acceptance of articles: Patterns of citation manipulation, including citations irrelevant to the research article Incoherent, extraneous text and Tortured phrases [1] Potential unauthorized third-party involvement in the submission process Evidence to suggest collusion between authors and reviewers that was not detected prior to publication Citations to research articles now retracted due to indicators of third-party involvement and manipulated peer review [2] These indicators raise concerns about the authenticity of the research and the peer review process underlying the following articles. The Publisher regrets that these were not flagged during the journal's editorial and peer review processes and acknowledges the anonymous volunteers on PubPeer and PPS ""Feet of Clay"" [2] whose observations complemented our internal investigation. References 1. Cabanac G., Labbé C. and Magazinov A., Tortured phrases: A dubious writing style emerging in science. Evidence of critical issues affecting established journals, ArXiv, abs/2107.06751 (2021). 2. Cabanac G., Chain retraction: how to stop bad science propagating through the literature [Comment], Nature 632(8027) (2024), 977-979. https://doi.org/10.1038/d41586-024-02747-1 © The Author(s) 2025",,Government data processing; Reviews; Text processing; Attack classifications; Classification approach; Critical issues; DDoS Attack; Peer review; Peer-review process; Real- time; Stream-based; Third parties; Writing style; Network security,"N.V. Patil; Department of Computer Engineering Government Polytechnic, Chhatrapati Sambhajinagar, Aurangabad, Maharashtra, India; email: nilesh.cse18@nitttrchd.ac.in",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105033148921,10.3233/jifs-219405,S1_JIFS
Hameed S.; Ahmad U.; Ullah S.; Shah A.G.,"Hameed, Saira (57208334277); Ahmad, Uzma (43060997100); Ullah, Samee (57215601623); Shah, Abdul Ghafar (58819683200)",57208334277; 43060997100; 57215601623; 58819683200,RETRACTION:Cubic fuzzy bridges and its application to traffic flow problem,2024,Journal of Intelligent and Fuzzy Systems,46,1,,2629.0,2647.0,1,10.3233/JIFS-233142,https://www.scopus.com/pages/publications/85182643365?origin=resultslist,"Department of Mathematics, University of the Punjab, New Campus, Lahore, Pakistan","Hameed S., Department of Mathematics, University of the Punjab, New Campus, Lahore, Pakistan; Ahmad U., Department of Mathematics, University of the Punjab, New Campus, Lahore, Pakistan; Ullah S., Department of Mathematics, University of the Punjab, New Campus, Lahore, Pakistan; Shah A.G., Department of Mathematics, University of the Punjab, New Campus, Lahore, Pakistan","Fuzzy graphs are of great significance in the modeling and analysis of complex systems characterized by uncertain and imprecise information. Among various types of fuzzy graphs, cubic fuzzy graphs stand out due to their ability to represent the membership degree of both vertices and edges using intervals and fuzzy numbers, respectively. The study of connectivity in fuzzy graphs depends on understanding key concepts such as fuzzy bridges, cutnodes and trees, which are essential for analyzing and interpreting intricate networks. Mastery of these concepts enhances decision-making, optimization and analysis in diverse fields including transportation, social networks and communication systems. This paper introduces the concepts of partial cubic fuzzy bridges and partial cubic fuzzy cutnodes and presents their relevant findings. The necessary and sufficient conditions for an edge to be a partial cubic fuzzy bridge and cubic fuzzy bridge are derived. Furthermore, it introduces the notion of cubic fuzzy trees, provides illustrative examples and discusses results relevant to cubic fuzzy trees. The upper bonds for the number of partial cubic fuzzy bridges in a complete CFG is calculated. As an application, the concept of partial cubic fuzzy bridges is used to identify cities most severely affected by traffic congestion resulting from accidents. © 2024 - IOS Press. All rights reserved.",bridges; connectivity; cubic fuzzy graph; Fuzzy graph; trees,Flow graphs; Traffic congestion; Trees (mathematics); Bridge applications; Connectivity; Cubic fuzzy graph; Cut-node; Fuzzy graph; Fuzzy trees; ITS applications; Traffic flow; Tree; Decision making,"U. Ahmad; Department of Mathematics, University of the Punjab, Lahore, New Campus, Pakistan; email: uzma.math@pu.edu.pk",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85182643365,10.3233/jifs-233142,S1_JIFS
Chen Z.; Lu N.; Hou B.; Liu X.; Zuo X.,"Chen, Ze (57209477299); Lu, Ning (58761137800); Hou, Botao (57209465177); Liu, Xin (58761086000); Zuo, Xiaojun (57209466816)",57209477299; 58761137800; 57209465177; 58761086000; 57209466816,RETRACTION:A risk source identification model for network security of power CPS system (CPS) based on fuzzy artificial neural network,2023,Journal of Intelligent and Fuzzy Systems,45,6,,10675.0,10691.0,1,10.3233/JIFS-224090,https://www.scopus.com/pages/publications/85179622698?origin=resultslist,"State Grid Hebei Electric Power Research Institute, Hebei, Shijiazhuang, China; State Grid Hebei Electric Power Co. Ltd., Hebei, Shijiazhuang, China","Chen Z., State Grid Hebei Electric Power Research Institute, Hebei, Shijiazhuang, China; Lu N., State Grid Hebei Electric Power Co. Ltd., Hebei, Shijiazhuang, China; Hou B., State Grid Hebei Electric Power Research Institute, Hebei, Shijiazhuang, China; Liu X., State Grid Hebei Electric Power Co. Ltd., Hebei, Shijiazhuang, China; Zuo X., State Grid Hebei Electric Power Research Institute, Hebei, Shijiazhuang, China","In order to improve the effect and accuracy of risk source identification, this paper studied the network security risk source identification model of power CPS system based on fuzzy artificial neural network. The network security risk source index system of power CPS system was constructed, and the dimension of index data was reduced by principal component analysis. Fuzzy theory is used to process the index data after dimension reduction, and the comprehensive membership vector of each index is obtained. The dynamic clustering algorithm is used to determine the number of hidden layer units of radial basis function neural network, and the network security risk source identification model is established. Finally, the quantitative value of risk source identification is output. The experimental results show that the model can effectively reduce the dimension of the network security risk source index data of the power CPS system. The optimal distance threshold of the hidden layer is 4.2, and the optimal number of units is 6. In the final identification results, four severe risk sources and five moderate risk sources were obtained, and the quantitative values of risk source identification of each index were 63, 70, 71, 77, 65, 89 and 96, respectively, indicating that the model can effectively identify network security risk sources of power CPS systems. With the increase of the proportion of communication nodes removed, when there are various types of security vulnerability information, the mean square error value of the model is always lower than the set threshold, indicating that the model has high recognition accuracy. © 2023 – IOS Press. All rights reserved.",artificial neural network; Fuzzy theory; identification model; network security; power CPS system; risk sources,Clustering algorithms; Data reduction; Fuzzy inference; Fuzzy neural networks; Mean square error; Principal component analysis; Radial basis function networks; Risk assessment; Fuzzy artificial neural network; Fuzzy theory; Identification modeling; Networks security; Power; Power CPS system; Quantitative values; Risk sources; Security risks; Sources identifications; Network security,"Z. Chen; State Grid Hebei Electric Power Research Institute, Shijiazhuang, Hebei, 050021, China; email: chengyejingdy1@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85179622698,10.3233/jifs-224090,S1_JIFS
