Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,DOI_clean,Stratum,Track
Wang K.; Bai Y.,"Wang, Kai (58937161800); Bai, Yameng (57195229408)",58937161800; 57195229408,RETRACTION:Enterprise technological innovation capability evaluation using a spherical fuzzy number based CSM-EDAS model,2024,Journal of Intelligent and Fuzzy Systems,46.0,3,,5927.0,5940.0,1.0,10.3233/JIFS-236778,https://www.scopus.com/pages/publications/85187621713?origin=resultslist,"Jiaozuo University, Jiaozuo, Henan, China","Wang K., Jiaozuo University, Jiaozuo, Henan, China; Bai Y., Jiaozuo University, Jiaozuo, Henan, China","With the rapid development of science and technology, the flow of information has become more convenient, and society has entered the era of knowledge economy. In this era, technological innovation capability is becoming increasingly important and has become an important weapon for enterprises to survive in fierce competition, especially for technology-based small and medium-sized enterprises. Nowadays, technology-based small and medium-sized enterprises have developed many technological innovation achievements through continuous technological innovation, and have created a large number of high-tech products and services. Technological innovation has been proven to effectively improve the core competitiveness and economic benefits of technology-based small and medium-sized enterprises. Therefore, evaluating the technological innovation capabilities of technology-based small and medium-sized enterprises has both theoretical and practical significance. The enterprise technological innovation capability evaluation from a low carbon perspective could be deemed as the multiple attribute group decision making (MAGDM) problem. Recently, the evaluation based on distance from average solution (EDAS) technique and cosine similarity measure (CSM) technique has been employed to manage MAGDM issues. The spherical fuzzy sets (SFSs) are used as an efficient tool for portraying uncertain information during the enterprise technological innovation capability evaluation from a low carbon perspective. In this paper, the spherical fuzzy number EDAS based on the CSM (SFN-CSM-EDAS) technique is cultivated to manage the MAGDM under SFSs. Finally, a numerical study for enterprise technological innovation capability evaluation from a low carbon perspective is supplied to validate the proposed technique. The main contributions of this paper are outlined: (1) the EDAS and CSM technique was extended to SFSs; (2) the CRITIC technique is used to derive weight based on CSM technique under SFSs. (3) the SFN-CSM-EDAS technique is founded to manage the MAGDM under SFSs; (4) a numerical case study for enterprise technological innovation capability evaluation from a low carbon perspective and some comparative analysis is supplied to validate the SFN-CSM-EDAS technique.  © 2024 - IOS Press. All rights reserved.",CRITIC technique; EDAS technique; enterprise technological innovation capability evaluation; Multiple attribute group decision making (MAGDM); spherical fuzzy sets (SFSs),Carbon; Competition; Fuzzy rules; Spheres; Capability evaluations; Cosine similarity measures; CRITIC technique; EDAS technique; Enterprise technological innovation capability evaluation; Multiple attribute group decision making; Multiple-attribute group decision makings; Spherical fuzzy set; Technological innovation capability; Technology-based; Decision making,"K. Wang; Jiaozuo University, Henan, Jiaozuo, 454000, China; email: wksdy@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85187621713,10.3233/jifs-236778,S1_JIFS,A1
Xia Z.; Mou J.,"Xia, Zhile (23974898200); Mou, Jinping (49361659000)",23974898200; 49361659000,RETRACTION:IT2 fuzzy adaptive containment control for fractional-order heterogeneous multi-agent systems with input saturation,2023,Journal of Intelligent and Fuzzy Systems,45.0,3,,4361.0,4370.0,3.0,10.3233/JIFS-231350,https://www.scopus.com/pages/publications/85169929320?origin=resultslist,"Department of Mathematics, Taizhou University, Zhejiang Province, China","Xia Z., Department of Mathematics, Taizhou University, Zhejiang Province, China; Mou J., Department of Mathematics, Taizhou University, Zhejiang Province, China","In this paper, the containment control problem of second-order nonlinear heterogeneous multi-agent system is studied. In order to deal with complex uncertainties such as unknown parts, uncertainties, and input constraints in the system, we designed a distributed fuzzy adaptive controller. The interval type-II (IT2) fuzzy set is adopted to deal with the uncertainty of membership functions. We construct a matrix equality and a matrix inequality to deal with the asymmetric Laplace matrix. The controller designed is simple and the designed controller only uses the information of itself and its neighbors. Therefore, it is very easy to be compensated in practice. Finally, a simulation example is introduced to verify the effectiveness of the proposed methods. © 2023 - The authors. Published by IOS Press.",Containment problem; distributed type-II fuzzy adaptive controller; fractional-order systems; heterogeneous multi-agent systems,Adaptive control systems; Controllers; Membership functions; Containment control; Containment problem; Distributed type-II fuzzy adaptive controller; Fractional order; Fractional-order systems; Fuzzy adaptive; Fuzzy adaptive controller; Heterogeneous multi-agent system; Type II; Uncertainty; Multi agent systems,"Z. Xia; Department of Mathematics, Taizhou University, Zhejiang Province, 318000, China; email: zhilexia@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85169929320,10.3233/jifs-231350,S1_JIFS,A1
Pillai L.G.; Muhammad Noorul Mubarak D.; Sherly E.,"Pillai, Leena G. (57222602907); Muhammad Noorul Mubarak, D. (57189070169); Sherly, Elizabeth (36069768600)",57222602907; 57189070169; 36069768600,RETRACTED: BiLSTM-CNN with fixed weight approach for tracking speech articulatory features,2025,Journal of Intelligent and Fuzzy Systems,49.0,1,,883.0,896.0,0.0,10.3233/JIFS-219386,https://www.scopus.com/pages/publications/105033145484?origin=resultslist,"Department of Computer Science, University of Kerala, Kerala, Trivandrum, India; Digital University Kerala, Kerala, Trivandrum, India","Pillai L.G., Department of Computer Science, University of Kerala, Kerala, Trivandrum, India, Digital University Kerala, Kerala, Trivandrum, India; Muhammad Noorul Mubarak D., Department of Computer Science, University of Kerala, Kerala, Trivandrum, India; Sherly E., Digital University Kerala, Kerala, Trivandrum, India","Following an investigation in line with the guidance issued by COPE, the publisher has detected one or more of the following indicators in submissions and in the peer review process underlying the acceptance of articles: Patterns of citation manipulation, including citations irrelevant to the research article Incoherent, extraneous text and Tortured phrases [1] Potential unauthorized third-party involvement in the submission process Evidence to suggest collusion between authors and reviewers that was not detected prior to publication Citations to research articles now retracted due to indicators of third-party involvement and manipulated peer review [2] These indicators raise concerns about the authenticity of the research and the peer review process underlying the following articles. The Publisher regrets that these were not flagged during the journal's editorial and peer review processes and acknowledges the anonymous volunteers on PubPeer and PPS ""Feet of Clay"" [2] whose observations complemented our internal investigation. References 1. Cabanac G., Labbé C. and Magazinov A., Tortured phrases: A dubious writing style emerging in science. Evidence of critical issues affecting established journals, ArXiv, abs/2107.06751 (2021). 2. Cabanac G., Chain retraction: how to stop bad science propagating through the literature [Comment], Nature 632(8027) (2024), 977-979. https://doi.org/10.1038/d41586-024-02747-1 © The Author(s) 2025",,Text processing; Articulatory features; Chain retraction; Critical issues; Peer review; Peer-review process; Third parties; Writing style; Reviews,"L.G. Pillai; Department of Computer Science, University of Kerala, Trivandrum, Kerala, India; email: leenabelieve@gmail.com",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105033145484,10.3233/jifs-219386,S1_JIFS,A1
Teekaraman Y.; Kirpichnikova I.; Manoharan H.; Kuppusamy R.; Radhakrishnan A.,"Teekaraman, Yuvaraja (58265882600); Kirpichnikova, Irina (55979971200); Manoharan, Hariprasath (57221013517); Kuppusamy, Ramya (57210134671); Radhakrishnan, Arun (57202397587)",58265882600; 55979971200; 57221013517; 57210134671; 57202397587,RETRACTED: Uncovering Resilient Actions of Robotic Technology with Data Interpretation Trajectories Using Knowledge Representation Procedures,2023,Security and Communication Networks,2023.0,,7419259,,,1.0,10.1155/2023/7419259,https://www.scopus.com/pages/publications/85159349401?origin=resultslist,"School of Engineering and Computing, American International University (AIU), Saad Al Abdullah, Al Jahra, Kuwait; Faculty of Energy and Power Engineering, South Ural State University, Chelyabinsk, 454 080, Russian Federation; Department of Electronics and Communication Engineering, Panimalar Engineering College, Poonamallee, Chennai, 600 123, India; Department of Electrical and Electronics Engineering, Sri Sairam College of Engineering, Bangalore, 562 106, India; Faculty of Electrical & Computer Engineering, Jimma Institute of Technology, Jimma University, Jimma, Ethiopia","Teekaraman Y., School of Engineering and Computing, American International University (AIU), Saad Al Abdullah, Al Jahra, Kuwait; Kirpichnikova I., Faculty of Energy and Power Engineering, South Ural State University, Chelyabinsk, 454 080, Russian Federation; Manoharan H., Department of Electronics and Communication Engineering, Panimalar Engineering College, Poonamallee, Chennai, 600 123, India; Kuppusamy R., Department of Electrical and Electronics Engineering, Sri Sairam College of Engineering, Bangalore, 562 106, India; Radhakrishnan A., Faculty of Electrical & Computer Engineering, Jimma Institute of Technology, Jimma University, Jimma, Ethiopia","This article highlights the importance of learning models which prevent the resilient attack of robotic technology with a subset of trajectories. Many complement models are introduced in the field of path planning robots without any knowledge of representation procedures, so robotic data are subject to different attacks from several users. During such attacks, the data will be misplaced and commands specified to robots will be disorganized so a new training data set has to be incorporated which is a difficult task. Therefore, to prevent probability of data failure time-dependent binary probability prototypes are introduced with low training data. Furthermore, a regularized boosting procedure (RBP) has been applied with different weights to switch multiple robots with discrete knowledge representation. Then a high space block is incorporated for maximizing coverage areas during loss functions and this is implicit as an innovative technique as compared with existing procedures. To validate the effectiveness of proposed learning techniques in robots, four scenarios are considered which include accuracy and success rate of detection. Subsequently, the outcomes prove that the robotic path with learning models are highly effective for an average percentile of 86% as compared to conventional techniques.  © 2023 Yuvaraja Teekaraman et al.",,Learning systems; Motion planning; Robot programming; Data interpretation; Different attacks; Failure time; Knowledge-representation; Learning models; Multiple-robots; Robotic technologies; Time dependent; Training data; Training dataset; Knowledge representation,"A. Radhakrishnan; Faculty of Electrical & Computer Engineering, Jimma Institute of Technology, Jimma University, Jimma, Ethiopia; email: arun.radhakriahnan@ju.edu.et",,John Wiley and Sons Ltd,19390114,,,,English,Secur. Commun. Networks,Retracted,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85159349401,10.1155/2023/7419259,S2_Hindawi,A1
Alorfi A.S.; Yonbawi S.; Alahmari S.; Bozorboevich A.A.; Arumugam M.; Huy P.Q.,"Alorfi, Almuhannad Sulaiman (57653414700); Yonbawi, Saud (57817797700); Alahmari, Sultan (58018358600); Bozorboevich, Abdullaev Abror (58017237600); Arumugam, Mahendran (57790242100); Huy, Pham Quang (57198431763)",57653414700; 57817797700; 58018358600; 58017237600; 57790242100; 57198431763,Biometric authentication integrated with wireless communication malicious activity detection in a cyber physical system-based Fintech banking,2023,Optik,272.0,,170294,,,4.0,10.1016/j.ijleo.2022.170294,https://www.scopus.com/pages/publications/85144029519?origin=resultslist,"Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, City Rabigh, Saudi Arabia; Department of Software Engineering, College Of Computer Science and Engineering, University of Jeddah, Jeddah, Saudi Arabia; King Abdul Aziz City for Science and Technology, Riyadh, Saudi Arabia; The Department of Acconting, Economic Analysis and Audit, Tashkent Institute of Finance, Tashkent, Uzbekistan; Center for Transdisciplinary Research, Saveetha Dental College, Saveetha institute of Medical and Technical Science, Chennai, India; University of Economics Ho Chi Minh City (UEH), Viet Nam","Alorfi A.S., Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, City Rabigh, Saudi Arabia; Yonbawi S., Department of Software Engineering, College Of Computer Science and Engineering, University of Jeddah, Jeddah, Saudi Arabia; Alahmari S., King Abdul Aziz City for Science and Technology, Riyadh, Saudi Arabia; Bozorboevich A.A., The Department of Acconting, Economic Analysis and Audit, Tashkent Institute of Finance, Tashkent, Uzbekistan; Arumugam M., Center for Transdisciplinary Research, Saveetha Dental College, Saveetha institute of Medical and Technical Science, Chennai, India; Huy P.Q., University of Economics Ho Chi Minh City (UEH), Viet Nam","Recently, biometric technology has been extensively embedded in mobile devices to enhance security of mobile devices. With rise of financial technology (FinTech) that employs mobile applications as well as devices as promotional platforms, biometrics has a significant role in strengthening the detection of this privacy application. This manuscript offers the design of salp swarm optimization with auto-encoder based biometric authentication (SSOAE-BMA) model for the recognition of abnormal activities in the Fintech banking applications based on wireless communication. The major aim of the SSOAE-BMA model lies in the proper authentication of persons via biometric matching process. Initially, the presented SSOAE-BMA model makes use of stacked ResNet-50 model for deriving feature vectors. Next, the SSOAE-BMA model utilizes AE for biometric verification and the performance of the AE model is adjusted using the Social Spider Optimization (SSO) Algorithm which in turn enhances the recognition outcomes. To demonstrate the improved performance of SSOAE-BMA model, a series of simulations were carried out. The experimental outcomes signified the enhancements of the SSOAE-BMA model over existing models. © 2022","Biometric authentication; Cyber physical system; Deep learning, Wireless communication; Fintech banking; Malicious activities","Authentication; Biometrics; Cybersecurity; Deep learning; Embedded systems; Auto encoders; Biometric authentication; Cybe-physical systems; Cyber-physical systems; Deep learning, wireless communication; Fintech banking; Malicious activities; Salp swarms; Swarm optimization; Wireless communications; Cyber Physical System","A.S. Alorfi; Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, City Rabigh, Saudi Arabia; email: AALORFI@kau.edu.sa",,Elsevier GmbH,00304026,,,,English,Optik,Retracted,Final,,Scopus,2-s2.0-85144029519,10.1016/j.ijleo.2022.170294,S3_Diverse,A1
Kalaipriya O.; Dhandapani S.,"Kalaipriya, O. (46161365600); Dhandapani, S. (60516887800)",46161365600; 60516887800,RETRACTED: Lung cancer detection using RF-K-means and classification with optimized ANN algorithm,2025,Journal of Intelligent and Fuzzy Systems,49.0,1,,267.0,281.0,0.0,10.3233/JIFS-233845,https://www.scopus.com/pages/publications/105033151698?origin=resultslist,"Anna University, Chennai, India; Saveetha Engineering College, Chennai, India","Kalaipriya O., Anna University, Chennai, India; Dhandapani S., Saveetha Engineering College, Chennai, India","Following an investigation in line with the guidance issued by COPE, the publisher has detected one or more of the following indicators in submissions and in the peer review process underlying the acceptance of articles: Patterns of citation manipulation, including citations irrelevant to the research article Incoherent, extraneous text and Tortured phrases [1] Potential unauthorized third-party involvement in the submission process Evidence to suggest collusion between authors and reviewers that was not detected prior to publication Citations to research articles now retracted due to indicators of third-party involvement and manipulated peer review [2] These indicators raise concerns about the authenticity of the research and the peer review process underlying the following articles. The Publisher regrets that these were not flagged during the journal's editorial and peer review processes and acknowledges the anonymous volunteers on PubPeer and PPS ""Feet of Clay"" [2] whose observations complemented our internal investigation. References 1. Cabanac G., Labbé C. and Magazinov A., Tortured phrases: A dubious writing style emerging in science. Evidence of critical issues affecting established journals, ArXiv, abs/2107.06751 (2021). 2. Cabanac G., Chain retraction: how to stop bad science propagating through the literature [Comment], Nature 632(8027) (2024), 977-979. https://doi.org/10.1038/d41586-024-02747-1 © The Author(s) 2025",,Reviews; Text processing; ANN algorithm; Chain retraction; Critical issues; K-means; Lung cancer detections; Peer review; Peer-review process; Third parties; Writing style; Lung cancer,"O. Kalaipriya; Anna University, Chennai, India; email: kalaiomprakash@gmail.com",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105033151698,10.3233/jifs-233845,S1_JIFS,A1
Du W.; Yang F.,"Du, Wei (59136750100); Yang, Fan (59135929500)",59136750100; 59135929500,RETRACTION:Optimizing market risk evaluation of small and medium sized enterprises through hamacher interactive power geometric technique under uncertainty,2024,Journal of Intelligent and Fuzzy Systems,46.0,4,,7521.0,7537.0,1.0,10.3233/JIFS-238763,https://www.scopus.com/pages/publications/85193725968?origin=resultslist,"Department of Economic Management, Hainan College of Software Technology, Hainan, Qionghai, China","Du W., Department of Economic Management, Hainan College of Software Technology, Hainan, Qionghai, China; Yang F., Department of Economic Management, Hainan College of Software Technology, Hainan, Qionghai, China","Compared with large enterprises, the development scale and organizational structure of small and medium-sized enterprises are insufficient, which brings certain limitations to the development of small and medium-sized enterprises in China. In order to promote the long-term development of small and medium-sized enterprises in the new era, it is necessary to require enterprise leaders to innovate marketing plans, strengthen risk management of enterprises, and enhance their strength in market competition. The market risk evaluation of small and medium sized enterprises (SMSEs) in the new era is a multiple-attribute decision-making (MADM). The IVIFSs are employed as the tool for portraying uncertain information during the market risk evaluation of SMSEs in the new era. In this paper, the interval-valued intuitionistic fuzzy (IVIF) Hamacher interactive power geometric (IVIFHIPG) technique is addressed based on IVIF Hamacher interactive weighted geometric (IVIFHIWG) technique and power geometric (PG) technique. Some properties of IVIFHIPG technique were addressed. Then, the IVIFHIPG technique is employed to manage MADM under IVIFSs. Finally, an example for market risk evaluation of SMSEs in the new era is employed to verify the IVIFHIPG technique. Thus, the main contributions of this paper are addressed: (1) the IVIFHIPG technique is addressed based on IVIFHIWG technique and PG technique; (2) the IVIFHIPG technique is came up with to manage the MADM under IVIFSs; (3) a numerical example for market risk evaluation of SMSEs in the new era has been came up with to show the IVIFHIPG technique; and (4) some comparative analysis is addressed to verify the I IVIFHIPG technique.  © 2024 - IOS Press. All rights reserved.",IVIF sets (IVIFSs); IVIFHIPG technique; market risk evaluation; Multiple-attribute decision-making (MADM),Commerce; Competition; Decision making; Fuzzy sets; Geometry; Marketing; Numerical methods; Risk assessment; (IVIF) hamache interactive power geometric technique; Geometric techniques; Interval-valued; Interval-valued intuitionistic fuzzy set; Interval-valued intuitionistic fuzzy sets; Market risk evaluations; Multiple attribute decision making; Multiple-attribute decision-making; Power; Small and medium-sized enterprise; Risk management,"W. Du; Department of Economic Management, Hainan College of Software Technology, Qionghai, Hainan, 571400, China; email: drop53@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85193725968,10.3233/jifs-238763,S1_JIFS,A1
Mahaboob Basha S.K.; Kalaiselvan S.A.,"Mahaboob Basha, S.K. (57140066900); Kalaiselvan, S.A. (56578357000)",57140066900; 56578357000,RETRACTION:Enhancing QoE predictions with complex neural networks and diverse datasets,2023,Journal of Intelligent and Fuzzy Systems,45.0,5,,7701.0,7711.0,2.0,10.3233/JIFS-233777,https://www.scopus.com/pages/publications/85176548585?origin=resultslist,"Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Tamil Nadu, Chennai, India; Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Tamilnadu, Chennai, India","Mahaboob Basha S.K., Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Tamil Nadu, Chennai, India; Kalaiselvan S.A., Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Tamilnadu, Chennai, India","Quality of Experience (QoE) is a critical aspect of multimedia applications, which directly impacts user satisfaction and adoption. QoE predictions are used to optimize various parameters such as video quality, bitrate, and network bandwidth to enhance the user experience. However, accurate QoE prediction is a challenging task, as it involves various factors such as network conditions, video content, and user preferences. Therefore, there is a need for enhancing QoE predictions with advanced techniques to improve user satisfaction and adoption. This paper proposes incorporating more complex neural network architectures and using more diverse datasets to improve the accuracy and generalization of Quality of Experience (QoE) predictions. The paper suggests experimenting with more advanced architectures such as convolutional neural networks and recurrent neural networks, which have been shown to be effective in various applications. Additionally, the paper highlights the limitation of using a single dataset and proposes using more diverse datasets that capture different types of video content and network conditions. Enhancing QoE predictions with complex neural networks and diverse datasets include improved accuracy, better generalization, more sophisticated models, enhanced user satisfaction and increased adoption. These enhancements are expected to lead to more accurate and reliable QoE predictions, which are crucial for improving user experience in multimedia applications.  © 2023-IOS Press. All rights reserved.",multimedia applications; Neural networks; Quality of Experience (QoE),Complex networks; Network architecture; Quality of service; Recurrent neural networks; Video recording; Complex neural networks; Multimedia applications; Network condition; Neural-networks; Quality of experience; User adoptions; Users' experiences; Users' satisfactions; Video contents; Video networks; Forecasting,"S.K. Mahaboob Basha; Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, Tamil Nadu, India; email: mahaboobbasha68907@gmail.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85176548585,10.3233/jifs-233777,S1_JIFS,A1
Jenefa A.; Taurshia A.; Edward Naveen V.; Kuriakose B.M.; Thiyagu T.M.,"Jenefa, A. (60112535500); Taurshia, Antony (60581489200); Edward Naveen, V. (58641016600); Kuriakose, Bessy M. (58724964000); Thiyagu, T.M. (60593079100)",60112535500; 60581489200; 58641016600; 58724964000; 60593079100,RETRACTED: GANSharp: High-definition image reconstruction using generative adversarial networks,2025,Journal of Intelligent and Fuzzy Systems,49.0,1,,658.0,673.0,0.0,10.3233/JIFS-238597,https://www.scopus.com/pages/publications/105033155810?origin=resultslist,"Division of Computer Science and Engineering, Karunya Institute of Technology and Sciences, India; Department of Computer Science and Engineering, Sri Shakthi Institute of Engineering and Technology, India; Department of Computer Science and Engineering, Malla Reddy Engineering College for Women, India","Jenefa A., Division of Computer Science and Engineering, Karunya Institute of Technology and Sciences, India; Taurshia A., Division of Computer Science and Engineering, Karunya Institute of Technology and Sciences, India; Edward Naveen V., Department of Computer Science and Engineering, Sri Shakthi Institute of Engineering and Technology, India; Kuriakose B.M., Department of Computer Science and Engineering, Malla Reddy Engineering College for Women, India; Thiyagu T.M., Division of Computer Science and Engineering, Karunya Institute of Technology and Sciences, India","Following an investigation in line with the guidance issued by COPE, the publisher has detected one or more of the following indicators in submissions and in the peer review process underlying the acceptance of articles: Patterns of citation manipulation, including citations irrelevant to the research article Incoherent, extraneous text and Tortured phrases [1] Potential unauthorized third-party involvement in the submission process Evidence to suggest collusion between authors and reviewers that was not detected prior to publication Citations to research articles now retracted due to indicators of third-party involvement and manipulated peer review [2] These indicators raise concerns about the authenticity of the research and the peer review process underlying the following articles. The Publisher regrets that these were not flagged during the journal's editorial and peer review processes and acknowledges the anonymous volunteers on PubPeer and PPS ""Feet of Clay"" [2] whose observations complemented our internal investigation. References 1. Cabanac G., Labbé C. and Magazinov A., Tortured phrases: A dubious writing style emerging in science. Evidence of critical issues affecting established journals, ArXiv, abs/2107.06751 (2021). 2. Cabanac G., Chain retraction: how to stop bad science propagating through the literature [Comment], Nature 632(8027) (2024), 977-979. https://doi.org/10.1038/d41586-024-02747-1 © The Author(s) 2025",,Distributed computer systems; Network security; Reviews; Text processing; Adversarial networks; Chain retraction; Critical issues; High definition; Images reconstruction; Peer review; Peer-review process; Third parties; Writing style; Generative adversarial networks,"V. Edward Naveen; Department of Computer Science and Engineering, Sri Shakthi Institute of Engineering and Technology, India; email: edwanx@gmail.com",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105033155810,10.3233/jifs-238597,S1_JIFS,A1
Gong M.,"Gong, Meng (58644707800)",58644707800,RETRACTION:Fuzzy multiple attribute decision making method for multimedia teaching effectiveness comprehensive evaluation in college english with double-valued neutrosophic numbers,2023,Journal of Intelligent and Fuzzy Systems,45.0,4,,5697.0,5707.0,17.0,10.3233/JIFS-233116,https://www.scopus.com/pages/publications/85174008474?origin=resultslist,"Shangqiu College, Henan, Shangqiu, China","Gong M., Shangqiu College, Henan, Shangqiu, China","With the increasing maturity and widespread application of computer multimedia technology, many universities have attempted to use multimedia technology for English teaching in order to solve some of the difficulties and contradictions faced in current college English teaching practices. Practice has proven that multimedia teaching of college English not only increases the amount of information in classroom teaching, but also improves the effectiveness of classroom teaching. At the same time, due to deviations in understanding, lack of conditions, and improper operation in work, the normal functioning of multimedia teaching is also restricted, which affects the effectiveness of multimedia teaching in college English. How to carry out multimedia teaching of college English is indeed an important topic that needs further research. The fuzzy comprehensive evaluation of multimedia teaching effectiveness in college English is a classical multiple attribute decision making (MADM) problems. Recently, the TODIM and GRA method has been used to cope with MADM issues. The double-valued neutrosophic sets (DVNSs) are used as a tool for characterizing uncertain information during the fuzzy comprehensive evaluation of multimedia teaching effectiveness in college English. In this manuscript, the double-valued neutrosophic number Exponential TODIM-GRA (DVNN-ExpTODIM-GRA) method is built to solve the MADM under DVNSs. In the end, a numerical case study for fuzzy comprehensive evaluation of multimedia teaching effectiveness in college English is given to validate the proposed method.  © 2023 - IOS Press. All rights reserved.",double-valued neutrosophic sets (DVNSs); ExpTODIM method; GRA method; multimedia teaching effectiveness; Multiple attribute decision making (MADM),Decision making; Fuzzy set theory; Multimedia systems; College English; Double-valued neutrosophic set; ExpTODIM method; GRA method; Multimedia teachings; Multimedium teaching effectiveness; Multiple attribute decision making; Neutrosophic sets; Teaching effectiveness; Numerical methods,"M. Gong; Shangqiu College, Shangqiu, Henan, 476000, China; email: ai20220909@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85174008474,10.3233/jifs-233116,S1_JIFS,A1
Yang G.; Xiao C.,"Yang, Guangfu (58934325200); Xiao, Chunyun (57874669800)",58934325200; 57874669800,RETRACTION:Modified method for college students' career planning evaluation based on the probabilistic hesitant fuzzy multiple attributes group decision making,2024,Journal of Intelligent and Fuzzy Systems,46.0,3,,5941.0,5956.0,2.0,10.3233/JIFS-232606,https://www.scopus.com/pages/publications/85187555178?origin=resultslist,"Department of Education and Institute of Schooling Reform and Development, Faculty of Education, East China Normal University, Shanghai, China; School of Computer Science and Technology, East China Normal University, Shanghai, China","Yang G., Department of Education and Institute of Schooling Reform and Development, Faculty of Education, East China Normal University, Shanghai, China; Xiao C., School of Computer Science and Technology, East China Normal University, Shanghai, China","The employment of college graduates is related to the overall situation of China's social development, and the difficulty of employment has become a social problem that cannot be ignored. Through the analysis of the current situation of employment, it is found that the lack of employment guidance in colleges and universities and the lack of employment concept of college students are important factors for the difficulty of college students' employment, and college counselors play an irreplaceable role in college students' career planning. Based on the characteristics of college counselors' work, the paper constructs a career planning evaluation system, hoping to provide new ideas for counselors' employment guidance. The college students' career planning evaluation is a multiple attributes group decision making (MAGDM). Recently, the TODIM and GRA technique has been employed to manage MAGDM. The probabilistic hesitant fuzzy sets (PHFSs) are employed as a useful tool for depicting uncertain information during the college students' career planning evaluation. In this paper, the probabilistic hesitant fuzzy TODIM-GRA (PHF-TODIM-GRA) technique is built to manage the MAGDM under PHFSs. At last, the numerical example for college students' career planning evaluation is employed to show the PHF-TODIM-GRA technique. The main contribution of this paper is outlined: (1) the TODIM technique based on GRA technique has been extended to PHFSs based on CRITIC technique; (2) the CRITIC technique is employed to derive weight values under PHFSs. (3) the PHF-TODIM-GRA technique is founded to manage the MAGDM under PHFSs; (4) a numerical case study for college students' career planning evaluation and some comparative analysis is supplied to validate the proposed PHF-TODIM-GRA technique.  © 2024-IOS Press. All rights reserved.",career planning evaluation; GRA technique; Multiple attributes group decision making (MAGDM); probabilistic hesitant fuzzy sets (PHFSs); TODIM technique,Decision making; Fuzzy sets; Numerical methods; Students; Career planning; Career planning evaluation; College students' careers; GRA technique; Hesitant fuzzy sets; Multiple attribute group decision making; Multiple-attribute group decision makings; Probabilistic hesitant fuzzy set; Probabilistics; TODIM technique; Employment,"G. Yang; Department of Education and Institute of Schooling Reform and Development, Faculty of Education, East China Normal University, Shanghai, 200062, China; email: gfyang@dedu.ecnu.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85187555178,10.3233/jifs-232606,S1_JIFS,A1
